,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
0,유니콘:광고차단 필수 앱,유니콘:광고차단 필수 앱,유니콘:광고차단 필수 앱,SOVS 소브스 - 구도 카메라,SOVS 소브스 - 구도 카메라,SOVS 소브스 - 구도 카메라,@picn2k camera (피크닉 카메라),SOVS 소브스 - 구도 카메라,CamScanner (License),@picn2k camera (피크닉 카메라),@picn2k camera (피크닉 카메라),유니콘:광고차단 필수 앱,유니콘:광고차단 필수 앱,@yoojinkim camera,Noteshelf — Note Taking | Handwritten | PDF Markup,Noteshelf — Note Taking | Handwritten | PDF Markup,Noteshelf — Note Taking | Handwritten | PDF Markup,Noteshelf — Note Taking | Handwritten | PDF Markup
1,Nova Launcher Prime,Tasker,Puffin Browser Pro,유니콘:광고차단 필수 앱,유니콘:광고차단 필수 앱,유니콘:광고차단 필수 앱,SOVS 소브스 - 구도 카메라,카카오톡 KakaoTalk,토스,토스,SNOW 스노우,토스,Nova Launcher Prime,유니콘:광고차단 필수 앱,유니콘:광고차단 필수 앱,유니콘:광고차단 필수 앱,유니콘:광고차단 필수 앱,유니콘:광고차단 필수 앱
2,SOVS - 촬영부탁 필수앱,nPlayer,LectureNotes,Puffin Browser Pro,nPlayer,nPlayer,유니콘:광고차단 필수 앱,"아자르 Azar -라이브로 친구찾기, 영상메신저",위버스 - Weverse,위피 - 동네 친구가 필요할 때,V LIVE,왓챠플레이,갓피플성경,갓피플성경,갓피플성경,한컴오피스 한글,@picn2k camera (피크닉 카메라),갓피플성경
3,nPlayer,LectureNotes,nPlayer,무음모드 (순정 무음카메라),Puffin Browser Pro,Puffin Browser Pro,nPlayer,갓피플성경,SOVS 소브스 - 구도 카메라,Panda Gamepad Pro (BETA),LectureNotes,갓피플성경,nPlayer,Plague Inc. (전염병 주식회사): 시나리오 제작기,nPlayer,갓피플성경,한컴오피스 한글,nPlayer
4,무음모드 (순정 무음카메라),AirBuds Popup - airpod battery app,픽테일 - Limited Edition,갓피플성경,심플 갤러리 Pro,MX 플레이어 Pro,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,네이버 - NAVER,"T연락처 - 주소록 실시간 백업, 114 검색",Instagram,토스,(New) 우리은행 우리WON뱅킹,LectureNotes,우와! 2.0 - 화면을 깨고 동전이 나오는 마술앱2,MX 플레이어 Pro,nPlayer,nPlayer,@yoojinkim camera
5,Moon+ Reader Pro,갓피플성경,갓피플성경,nPlayer,갓피플성경,갓피플성경,갓피플성경,정오의 데이트,Google One,정오의 데이트,왓챠플레이,위피 - 동네 친구가 필요할 때,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,LectureNotes,무음무음 PRO,@picn2k camera (피크닉 카메라),갓피플성경,한컴오피스 한글
6,MX 플레이어 Pro,무음모드 (순정 무음카메라),Tasker,MX 플레이어 Pro,MX 플레이어 Pro,무음모드 (순정 무음카메라),MX 플레이어 Pro,nPlayer,LectureNotes,갓피플성경,갓피플성경,@picn2k camera (피크닉 카메라),Jump Desktop (RDP & VNC),@picn2k camera (피크닉 카메라),Plague Inc. (전염병 주식회사): 시나리오 제작기,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,MX 플레이어 Pro,MX 플레이어 Pro
7,갓피플성경,MX 플레이어 Pro,무음모드 (순정 무음카메라),Tasker,LectureNotes,AirBuds Popup - airpod battery app,Puffin Browser Pro,호갱노노,Instagram,스마트주택금융,어카운트인포-계좌정보통합관리,트립스토어 - 해외 패키지 & 에어텔 특가 비교,한컴오피스 한글,nPlayer,한컴오피스 한글,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",Torque Pro (OBD2 / 자동차),@picn2k camera (피크닉 카메라)
8,픽테일 - Limited Edition,Nova Launcher Prime,MX 플레이어 Pro,LectureNotes,무음모드 (순정 무음카메라),LectureNotes,LectureNotes,Google One,정오의 데이트,"아자르 Azar -라이브로 친구찾기, 영상메신저","아자르 Azar -라이브로 친구찾기, 영상메신저",정오의 데이트,@picn2k camera (피크닉 카메라),MX 플레이어 Pro,LectureNotes,MX 플레이어 Pro,Word master 워드마스터 수능 2000(18개정),"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터"
9,LectureNotes,ONE UI Icon Pack,Aa너구리굴림™ 한국어 Flipfont,픽테일 - Limited Edition,µTorrent® Pro - Torrent App,한컴오피스 한글,무음모드 (순정 무음카메라),토익 PART5 종결자,갓피플성경,SOVS 소브스 - 구도 카메라,MX 플레이어 Pro,MX 플레이어 Pro,Word master 워드마스터 수능 2000(18개정),Flashcards Deluxe,@picn2k camera (피크닉 카메라),무음무음 PRO,Aa문라이즈™ 한국어 Flipfont,Torque Pro (OBD2 / 자동차)
