,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
0,아이돌Live - 모든 통신사 이용가능 아이돌 콘텐츠 APP,SODA 소다 - Natural Beauty Camera,SODA 소다 - Natural Beauty Camera,크레이지아케이드 BnB M,프렌즈타운,Snapchat,리니지2M,리니지2M,리니지M,리니지2M,리니지M,리니지2M
1,블레이드&소울 레볼루션,블레이드&소울 레볼루션,블레이드&소울 레볼루션,블레이드&소울 레볼루션,블레이드&소울 레볼루션,블레이드&소울 레볼루션,리니지M,리니지M,AFK 아레나,리니지M,리니지2M,리니지M
2,Analog Paris,Analog Wedding,Analog Paris,Analog Wedding,Analog Paris,Analog Paris,라이즈 오브 킹덤즈,FIFA ONLINE 4 M by EA SPORTS™,리니지2M,라이즈 오브 킹덤즈,V4,카트라이더 러쉬플러스
3,SODA 소다 - Natural Beauty Camera,삼국지 조운장군전 - 캐주얼 전략 RPG 게임,풍신,퍼펙트 레이드,Rummikub,다크레전드,카카오톡 KakaoTalk,V4,V4,AFK 아레나,YouTube,AFK 아레나
4,검은사막 모바일,FIFA ONLINE 4 M by EA SPORTS™,리니지2 레볼루션,리니지M(12),리니지2 레볼루션,리니지M(12),V4,메이플스토리M,YouTube,FIFA ONLINE 4 M by EA SPORTS™,라이즈 오브 킹덤즈,V4
5,@picn2k camera (피크닉 카메라),유니콘:광고차단 필수 앱,Analog Tokyo,Analog Tokyo,Analog Wedding,Football Manager 2019 Mobile,FIFA ONLINE 4 M by EA SPORTS™,카카오톡 KakaoTalk,FIFA ONLINE 4 M by EA SPORTS™,V4,AFK 아레나,FIFA ONLINE 4 M by EA SPORTS™
6,Color Bump 3D,환란 삼국지,에브리타임 - 시간표 & 대학교 커뮤니티,프린세스 커넥트! Re:Dive,SODA 소다 - Natural Beauty Camera,손오공디펜스,기적의 검,리니지2 레볼루션,카카오톡 KakaoTalk,메이플스토리M,카카오톡 KakaoTalk,네이버 웹툰 - Naver Webtoon
7,모두의마블,브롤스타즈,YouTube,카카오페이지 KakaoPage,리니지M(12),브롤스타즈,리니지2 레볼루션,기적의 검,메이플스토리M,블레이드&소울 레볼루션,FIFA ONLINE 4 M by EA SPORTS™,카카오톡 KakaoTalk
8,Stardew Valley,@picn2k camera (피크닉 카메라),FILCA - SLR 필름 카메라,FILCA - SLR 필름 카메라,Analog Tokyo,세븐데이즈 - 라이트 노벨 어드벤처 .스토리 선택 게임,블레이드&소울 레볼루션,카카오페이지 KakaoPage,기적의 검,A3: 스틸얼라이브,네이버 웹툰 - Naver Webtoon,메이플스토리M
9,NH스마트뱅킹,손오공디펜스,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",배달요기요,예서 키우기 - 키우기게임,Egg Shot,리니지M(12),네이버 웹툰 - Naver Webtoon,랜덤 다이스(Random Dice) : PvP 디펜스,카카오톡 KakaoTalk,A3: 스틸얼라이브,리니지2 레볼루션
