,19_1,19_1_gen,19_2,19_2_gen,19_3,19_3_gen,19_4,19_4_gen,19_5,19_5_gen,19_6,19_6_gen,19_7,19_7_gen,19_8,19_8_gen,19_9,19_9_gen,19_10,19_10_gen,19_11,19_11_gen,19_12,19_12_gen
0,Analog Brooklyn,oto & Video,Analog Brooklyn,oto & Video,Analog Paris,oto & Video,FILCA - SLR 필름 카메라,oto & Video,SOVS - 촬영부탁 필수앱,사진,@picn2k camera (피크닉 카메라),사진,Analog Paris,oto & Video,Dead Cells,,@picn2k camera (피크닉 카메라),사진,@picn2k camera (피크닉 카메라),사진,Football Manager 2020 Mobile,스포츠,Minecraft,아케이드
1,Analog Wedding,oto & Video,Analog Paris,oto & Video,Analog Wedding,oto & Video,A Dance Of Fire and Ice,음악,Analog Paris,oto & Video,Stardew Valley,롤플레잉,에버테일,롤플레잉,Analog Paris,oto & Video,포켓 빌드,시뮬레이션,Stardew Valley,롤플레잉,Minecraft,아케이드,Analog Wedding,oto & Video
2,Analog Paris,oto & Video,Analog Wedding,oto & Video,Analog Brooklyn,oto & Video,Analog Paris,oto & Video,Analog Wedding,oto & Video,Analog Paris,oto & Video,Analog Wedding,oto & Video,@picn2k camera (피크닉 카메라),사진,FEELT,oto & Video,Analog Paris,oto & Video,A Dance Of Fire and Ice,음악,Analog Paris,oto & Video
3,@picn2k camera (피크닉 카메라),사진,Analog Tokyo,oto & Video,FILCA - SLR 필름 카메라,oto & Video,SOVS - 촬영부탁 필수앱,사진,Football Manager 2019 Mobile,스포츠,Football Manager 2019 Mobile,스포츠,Minecraft,아케이드,Minecraft,아케이드,ilSang Pro,oto & Video,Analog Tokyo,oto & Video,@picn2k camera (피크닉 카메라),사진,A Dance Of Fire and Ice,음악
4,Analog Tokyo,oto & Video,@picn2k camera (피크닉 카메라),사진,Analog Tokyo,oto & Video,Analog Wedding,oto & Video,세븐데이즈 - 라이트 노벨 어드벤처 .스토리 선택 게임,어드벤처,Analog Wedding,oto & Video,@picn2k camera (피크닉 카메라),사진,Analog Wedding,oto & Video,Analog Paris,oto & Video,Analog Wedding,oto & Video,Analog Paris,oto & Video,@yoojinkim wallpapers,
5,Rebel Inc. (반란 주식회사),시뮬레이션,FILCA - SLR 필름 카메라,oto & Video,세븐데이즈 - 라이트 노벨 어드벤처 .스토리 선택 게임,어드벤처,Forest: 집중하기,생산성,Analog Tokyo,oto & Video,SOVS - 촬영부탁 필수앱,사진,SOVS - 촬영부탁 필수앱,사진,Analog Tokyo,oto & Video,Analog Wedding,oto & Video,A Dance Of Fire and Ice,음악,NBA 2K20,스포츠,@picn2k camera (피크닉 카메라),사진
6,Minecraft,아케이드,Rebel Inc. (반란 주식회사),시뮬레이션,SOVS - 촬영부탁 필수앱,사진,Analog Brooklyn,oto & Video,@picn2k camera (피크닉 카메라),사진,Minecraft,아케이드,Analog Tokyo,oto & Video,A Dance Of Fire and Ice,음악,Minecraft,아케이드,Minecraft,아케이드,Analog Wedding,oto & Video,MOODA,
7,SOVS - 촬영부탁 필수앱,사진,Minecraft,아케이드,@picn2k camera (피크닉 카메라),사진,Analog Tokyo,oto & Video,Stardew Valley,롤플레잉,Analog Tokyo,oto & Video,포켓 빌드,시뮬레이션,Analog Brooklyn,oto & Video,A Dance Of Fire and Ice,음악,후엠아이: 도로시 이야기,시뮬레이션,MOODA,,Football Manager 2020 Mobile,스포츠
8,Football Manager 2019 Mobile,스포츠,Plague Inc. (전염병 주식회사),시뮬레이션,Stardew Valley,롤플레잉,Stardew Valley,롤플레잉,Analog Brooklyn,oto & Video,에버테일,롤플레잉,Analog Brooklyn,oto & Video,SOVS - 촬영부탁 필수앱,사진,MOODA,,MOODA,,Analog Tokyo,oto & Video,Analog Tokyo,oto & Video
9,Analog Seoul,oto & Video,Analog Seoul,oto & Video,에버테일,롤플레잉,@picn2k camera (피크닉 카메라),사진,Minecraft,아케이드,Analog Brooklyn,oto & Video,구닥,사진,MOODA,,Analog Tokyo,oto & Video,유니콘:광고차단 필수 앱,생산성,Puffin Browser Pro,커뮤니케이션,Alto s Adventure,액션
10,Analog Budapest,oto & Video,SOVS - 촬영부탁 필수앱,사진,Football Manager 2019 Mobile,스포츠,Minecraft,아케이드,Plague Inc. (전염병 주식회사),시뮬레이션,FILCA - SLR 필름 카메라,oto & Video,Analog Jeju,oto & Video,카툰 크래프트,전략,Football Manager 2019 Mobile,스포츠,Plague Inc. (전염병 주식회사),시뮬레이션,Stardew Valley,롤플레잉,Stardew Valley,롤플레잉
11,Hidden Folks,venture,Football Manager 2019 Mobile,스포츠,Forest: 집중하기,생산성,Facetune - 무광고 버전,사진,Analog Jeju,oto & Video,Plague Inc. (전염병 주식회사),시뮬레이션,Hyper Light Drifter,,포켓 빌드,시뮬레이션,SOVS - 촬영부탁 필수앱,사진,Analog Brooklyn,oto & Video,유니콘:광고차단 필수 앱,생산성,Plague Inc. (전염병 주식회사),시뮬레이션
12,Analog Jeju,oto & Video,Forest: 집중하기,생산성,Plague Inc. (전염병 주식회사),시뮬레이션,Football Manager 2019 Mobile,스포츠,Facetune - 무광고 버전,사진,레이튼 교수와 악마의 상자 모바일 HD 리마스터,어드벤처,Facetune - 무광고 버전,사진,농장 스토리,전략,Analog Brooklyn,oto & Video,Facetune - 무광고 버전,사진,미니 메트로,시뮬레이션,유니콘:광고차단 필수 앱,생산성
13,Feica - 나의 첫번째 필름 카메라,oto & Video,Analog Jeju,oto & Video,Analog Budapest,oto & Video,NewBorder - 뉴보더 여백의 미,oto & Video,A Dance Of Fire and Ice,음악,오투잼 - 뮤직 & 게임,,Stardew Valley,롤플레잉,Stardew Valley,롤플레잉,Plague Inc. (전염병 주식회사),시뮬레이션,Dead Cells,,Geometry Dash,아케이드,포켓 빌드,시뮬레이션
14,Analog London,oto & Video,Analog London,oto & Video,Minecraft,아케이드,삼국지 한말패업,전략,Forest: 집중하기,생산성,Analog Jeju,oto & Video,Analog Seoul,oto & Video,FILCA - SLR 필름 카메라,oto & Video,Stardew Valley,롤플레잉,구닥,사진,LumaFusion,oto & Video,마녀의 샘4,롤플레잉
