,20_1,20_1_gen,20_2,20_2_gen,20_3,20_3_gen,20_4,20_4_gen,20_5,20_5_gen,20_6,20_6_gen
0,Plague Inc. (전염병 주식회사),시뮬레이션,Forest: 집중하기,생산성,MOODA,,Agent A - 숨겨진 퍼즐,퍼즐,Minecraft,아케이드,Minecraft,아케이드
1,Minecraft,아케이드,Plague Inc. (전염병 주식회사),시뮬레이션,Minecraft,아케이드,Minecraft,아케이드,메몽 Memong,,MOODA,
2,Analog Paris,oto & Video,Minecraft,아케이드,Analog Paris,oto & Video,미루,,Analog Paris,oto & Video,Football Manager 2020 Mobile,스포츠
3,Analog Wedding,oto & Video,MOODA,,Forest: 집중하기,생산성,Forest: 집중하기,생산성,Night of the Full Moon,전략,@picn2k camera (피크닉 카메라),oto & Video
4,@picn2k camera (피크닉 카메라),oto & Video,Analog Paris,oto & Video,Analog Wedding,oto & Video,포켓 빌드,시뮬레이션,유니콘:광고차단 필수 앱,생산성,Agent A - 숨겨진 퍼즐,퍼즐
5,Football Manager 2020 Mobile,스포츠,Stardew Valley,롤플레잉,Plague Inc. (전염병 주식회사),시뮬레이션,@picn2k camera (피크닉 카메라),oto & Video,Pascal s Wager,,VINYL - Kyoto,
6,Analog Tokyo,oto & Video,Analog Wedding,oto & Video,@picn2k camera (피크닉 카메라),oto & Video,MOODA,,MOODA,,Analog Paris,oto & Video
7,@yoojinkim wallpapers,,유니콘:광고차단 필수 앱,생산성,Stardew Valley,롤플레잉,Analog Paris,oto & Video,Forest: 집중하기,생산성,유니콘:광고차단 필수 앱,생산성
8,A Dance Of Fire and Ice,음악,@picn2k camera (피크닉 카메라),oto & Video,Analog Tokyo,oto & Video,GoodNotes 5,oductivity,Analog Wedding,oto & Video,Forest: 집중하기,생산성
9,MOODA,,Football Manager 2020 Mobile,스포츠,@yoojinkim wallpapers,,Analog Wedding,oto & Video,@picn2k camera (피크닉 카메라),oto & Video,메몽 Memong,
