,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
0,Best Nine Yearly for Instagram,한국장학재단,Netflix(넷플릭스),경기지역화폐,국세청 홈택스,카트라이더 러쉬플러스
1,조선 영웅전--수집형 RPG 모바일 게임,샤이닝라이트,가짜톡 - 내맘대로 여친 남친 만들기,ZOOM Cloud Meetings,엘프:드래곤소환사,Fallout Shelter Online
2,Axe Throwing,오늘도 환생,우체국쇼핑,타임리버스,아스트로킹즈,당근마켓 - 우리 동네 중고 직거래 벼룩장터
3,(New) 우리은행 우리WON뱅킹,엘프:드래곤소환사,공영쇼핑 - 공영홈쇼핑,블레스 모바일,Legends of Runeterra,삼국연의M
4,Netflix(넷플릭스),당근마켓 - 우리 동네 중고 직거래 벼룩장터,킹 오브 타워,전략적 팀 전투: 리그 오브 레전드 전략 게임,당근마켓 - 우리 동네 중고 직거래 벼룩장터,Netflix(넷플릭스)
5,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",Woodturning,AFK 아레나,사무라이 마스터,Mystery Forest - Match 3 Fun,VITA
6,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",쿠팡 (Coupang),당근마켓 - 우리 동네 중고 직거래 벼룩장터,Monument Valley 2,Netflix(넷플릭스),Mech Warrior: Tower Defense
7,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",바비톡 - 대한민국 1등 성형앱 & 뷰티 커뮤니티,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,당근마켓 - 우리 동네 중고 직거래 벼룩장터,전략적 팀 전투: 리그 오브 레전드 전략 게임,올리브영
8,당근마켓 - 우리 동네 중고 직거래 벼룩장터,Netflix(넷플릭스),Rummikub,복지로,ZOOM Cloud Meetings,TikTok 틱톡
9,배달의민족,YouTube,샤이닝라이트,Netflix(넷플릭스),쿠팡 (Coupang),YouTube
10,한국장학재단,국세청 홈택스,쿠팡 (Coupang),Axe Throwing,아이디어스(idus) - 핸드메이드/수공예 장터,배달의민족
11,SODA 소다 - Natural Beauty Camera,카카오톡 KakaoTalk,"AliExpress - 스마트한쇼핑, 더즐거운생활",밴드,경기지역화폐,Instagram
12,롯데홈쇼핑 – 롯데 ON,Instagram,배달의민족,Google Classroom,Instagram,셀렉트숍 무신사 - SELECT SHOP MUSINSA
13,Instagram,배달의민족,아트닷컴 A-RT.COM - ABC마트의 새로운 통합 사이트,올리브영,YouTube,네이버 - NAVER
14,"네이버 지도, 내비게이션",카카오뱅크 - 같지만 다른 은행,디즈니 팝 타운,셀렉트숍 무신사 - SELECT SHOP MUSINSA,SODA 소다 - Natural Beauty Camera,에이블리 - 셀럽마켓 모음앱
15,YouTube,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",ZOOM Cloud Meetings,에이블리 - 셀럽마켓 모음앱,현대카드 DIVE,카카오톡 KakaoTalk
16,트립스토어 - 해외 패키지 & 에어텔 특가 비교,배달요기요,에이블리 - 셀럽마켓 모음앱,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,케페우스M,배달요기요
17,카카오톡 KakaoTalk,네이버 - NAVER,Slap Kings,쿠팡 (Coupang),서울자전거 따릉이 (Seoul Public Bike),오늘의집 - 700만이 선택한 No.1 인테리어 필수앱
18,배달요기요,아이디어스(idus) - 핸드메이드/수공예 장터,Fight Soldier,Adobe Photoshop Fix,셀렉트숍 무신사 - SELECT SHOP MUSINSA,SODA 소다 - Natural Beauty Camera
19,카카오뱅크 - 같지만 다른 은행,에이블리 - 셀럽마켓 모음앱,랜덤 다이스(Random Dice) : PvP 디펜스,카카오뱅크 - 같지만 다른 은행,토스,국세청 홈택스
20,쿠팡 (Coupang),(New) 우리은행 우리WON뱅킹,대장장이 용병단 : 합성 방치형 RPG,해피오더,배달의민족,모바일 관세청
21,토스,브랜디 - 여성들의 쇼핑맛집,배틀그라운드,에브리싱 No. 1 스마트 노래방,"네이버 지도, 내비게이션","네이버 지도, 내비게이션"
22,Rummikub,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",배달요기요,핀크 Finnq,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,쿠팡 (Coupang)
23,쿠키런 for Kakao,SODA 소다 - Natural Beauty Camera,Push em all,모바일 관세청,네이버 - NAVER,스타벅스
24,SNOW 스노우,토스,YouTube,Chrome: 빠르고 안전한 브라우저,모바일 관세청,새 천하를 열다 RED
25,네이버 - NAVER,Facebook,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라","오디오클립 - 다양한 채널, 팟캐스트와 오디오북",TikTok 틱톡,ZOOM Cloud Meetings
26,에이블리 - 셀럽마켓 모음앱,"네이버 지도, 내비게이션",Instagram,리브메이트,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",뮤 아크엔젤
27,wavve(웨이브) - 재미의 파도를 타다!,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,판타지타운,배달의민족,카카오톡 KakaoTalk,판타지타운
28,국방모바일보안,Rummikub,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",Instagram,에이블리 - 셀럽마켓 모음앱,Facebook
29,Facebook,TikTok 틱톡,셀렉트숍 무신사 - SELECT SHOP MUSINSA,Lara Croft GO,Bake it,핀크 Finnq
30,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",랜덤 다이스(Random Dice) : PvP 디펜스,카카오톡 KakaoTalk,클래스팅 - 학교 플랫폼,카카오뱅크 - 같지만 다른 은행,어비스 호라이즌
31,스타벅스,NH스마트뱅킹,Discord - 게이머를 위한 메신저,YouTube,Chrome: 빠르고 안전한 브라우저,토스
32,Messenger,네이버 웹툰 - Naver Webtoon,네이버 - NAVER,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",언니의파우치,SNOW 스노우
33,대장장이 용병단 : 합성 방치형 RPG,Messenger,Draw Climber,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어","티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",네이버 웹툰 - Naver Webtoon
34,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,Sudoku Natural,숨바꼭질 온라인 - 실시간 숨바꼭질,카카오톡 KakaoTalk,멜론,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라"
35,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",셀렉트숍 무신사 - SELECT SHOP MUSINSA,SERIES ON - 네이버 시리즈 ON,토스,T map for SK,Tower Run
36,네이버 웹툰 - Naver Webtoon,스마트위택스,SODA 소다 - Natural Beauty Camera,라그나로크 택틱스,핀크 Finnq,멜론
37,Top Nine for Instagram - Pic Collage & Video Maker,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크","Brain Out – 넌센스 마스터, 두뇌 트레이닝",후궁의 법칙,"오디오클립 - 다양한 채널, 팟캐스트와 오디오북",카카오뱅크 - 같지만 다른 은행
38,BlockuDoku - 블록 퍼즐,Chrome: 빠르고 안전한 브라우저,카카오뱅크 - 같지만 다른 은행,스마트 공지시스템 e알리미,왈라뷰(wallaVU) – 뷰티콘텐츠 쇼핑몰,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크"
39,TikTok 틱톡,ISP/페이북,TikTok 틱톡,TikTok 틱톡,책략삼국지,KREAM 크림
40,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!","번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",Chrome: 빠르고 안전한 브라우저,SODA 소다 - Natural Beauty Camera,Fonts,지그재그 - No.1 여성쇼핑몰 모음앱
41,닌자대전,SNOW 스노우,OneLineTreasure,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플","야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",Messenger
42,NH스마트뱅킹,헬로우봇 - AI 사주・타로・상담,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",네이버 - NAVER,Facebook,서울자전거 따릉이 (Seoul Public Bike)
43,멜론,배틀그라운드,Animal Rotary,한국투자증권 (스마트폰 계좌개설),"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",전략적 팀 전투: 리그 오브 레전드 전략 게임
44,코레일톡,멜론,밴드,아트닷컴 A-RT.COM - ABC마트의 새로운 통합 사이트,Soccer wave,Chrome: 빠르고 안전한 브라우저
45,Layout from Instagram,에브리타임 - 시간표 & 대학교 커뮤니티,힐링 타일 - 기타와 피아노,마켓컬리-내일의 장보기,배달요기요,아이디어스(idus) - 핸드메이드/수공예 장터
46,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),카카오페이,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",배달요기요,SNOW 스노우,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플"
47,Funny Fight,Akinator,Gmail,지역상품권 Chak,리브메이트,Draw Climber
48,지도,Pull the Pin,마켓컬리-내일의 장보기,Save The Girl!,꿈의 정원 (Gardenscapes),밴드
49,ISP/페이북,밴드,Facebook,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",네이버 웹툰 - Naver Webtoon,T map for SK
50,판타지타운,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),R5,Google,밴드,Discord - 게이머를 위한 메신저
51,배틀그라운드,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",Zombie Fight - Pvp battles,"비플제로페이 - 서울사랑상품권,온누리상품권,지역사랑상품",카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),Connect 4 Social
52,Chrome: 빠르고 안전한 브라우저,명일방주,마피아42,(New) 우리은행 우리WON뱅킹,NAVER VIBE (바이브),"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청"
53,다이소 멤버십,Google,Dentist Bling,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",Halloween Pumpkinhead Match,전쟁의 연가: 전연
54,밴드,다방 - 대한민국 부동산 매물 최다보유,Google,Brain Test: 트리키 퍼즐,ASMR Slicing,배틀그라운드
55,차이 - 결제마다 할인받는 간편결제,네이버 파파고 - AI 통번역,도와줘! 엔즈,네이버 웹툰 - Naver Webtoon,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!","오디오클립 - 다양한 채널, 팟캐스트와 오디오북"
56,밴드 오브 히어로즈 : 방치형 RPG,카카오페이지 KakaoPage,Parking Jam 3D,국세청 홈택스,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 )
57,FLO – 플로,Find Out – 숨은 물건 찾기,엘프:드래곤소환사,Gmail,Mario Kart Tour,Google
58,알바몬 맞춤알바,KB국민은행 스타뱅킹,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),V LIVE,카카오페이,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱
59,[공식]시외버스 티머니,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,ISP/페이북,아이디어스(idus) - 핸드메이드/수공예 장터,Messenger,TheDayBefore (디데이 위젯)
60,TheDayBefore (디데이 위젯),마켓컬리-내일의 장보기,Mario Kart Tour,부산 동백전,배틀그라운드,열정품은타이머 - 혼자 공부하지말고 열품타에서함께 공부하세요!
61,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",타임커머스 티몬,8 Ball Pool,"네이버 지도, 내비게이션","Brain Out – 넌센스 마스터, 두뇌 트레이닝",네이버 클라우드 - NAVER Cloud
62,[공식]고속버스 티머니,알바몬 맞춤알바,네이버 웹툰 - Naver Webtoon,서울자전거 따릉이 (Seoul Public Bike),"비플제로페이 - 서울사랑상품권,온누리상품권,지역사랑상품",YouTube Music
63,마피아42,모바일 관세청,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,Discord - 게이머를 위한 메신저,Discord - 게이머를 위한 메신저,브랜디 - 여성들의 쇼핑맛집
64,네이버 파파고 - AI 통번역,롯데마트 M쿠폰,타임커머스 티몬,행아웃 Meet,라지엘,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)"
65,"운수도원 -무료운세,2017운세,토정비결,신년운세,사주,손금,관상",텐바이텐 – 디자인 쇼핑몰 10x10,Messenger,Facebook,Go Knots 3D,카카오페이
66,SRT - 수서고속철도(NEW),네이버 클라우드 - NAVER Cloud,아이디어스(idus) - 핸드메이드/수공예 장터,카카오페이,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",ISP/페이북
67,Johnny Trigger,부산 동백전,쿵야 캐치마인드,해피포인트,V LIVE,UNIQLO KR
68,무한의 계단,하나원큐 - 하나은행 스마트폰뱅킹,"좋은 피자, 위대한 피자",ISP/페이북,왓챠플레이,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)"
69,해피오더,쿠키런 for Kakao,모두의마블,"PASS by U+(구, U+인증)",Google,Gmail
70,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,LIFEPLUS,Hunter Assassin,모바일증권 나무(계좌개설 겸용),던전아이돌 : 방치형 액션 RPG,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인"
71,CJ ONE,쿠키런: 오븐브레이크,모바일 관세청,지그재그 - No.1 여성쇼핑몰 모음앱,VITA,"Brain Out – 넌센스 마스터, 두뇌 트레이닝"
72,셀렉트숍 무신사 - SELECT SHOP MUSINSA,썸원 Sumone - 커플 다이어리,지그재그 - No.1 여성쇼핑몰 모음앱,NH스마트뱅킹,ISP/페이북,네이버 파파고 - AI 통번역
