,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
0,트립스토어 - 해외 패키지 & 에어텔 특가 비교,국세청 홈택스,우체국쇼핑,경기지역화폐,당근마켓 - 우리 동네 중고 직거래 벼룩장터,TikTok 틱톡
1,팝콘티비,Instagram,"코백-코로나 100m 근접시 푸시알림, 확진자 경로추적, 코로나19,  우한폐렴 정보서비스",ZOOM Cloud Meetings,국세청 홈택스,당근마켓 - 우리 동네 중고 직거래 벼룩장터
2,Instagram,당근마켓 - 우리 동네 중고 직거래 벼룩장터,Forest: 집중하기,Netflix(넷플릭스),내 곁에 국민연금,"하루날씨 - 한눈에 필수 정보 AI안내, 첫화면, 실시간, 예보, 미세먼지, WHO,기상청"
3,(New) 우리은행 우리WON뱅킹,NH스마트뱅킹,공영쇼핑 - 공영홈쇼핑,당근마켓 - 우리 동네 중고 직거래 벼룩장터,Instagram,국세청 홈택스
4,Netflix(넷플릭스),쿠팡 (Coupang),Instagram,Instagram,ZOOM Cloud Meetings,Netflix(넷플릭스)
5,당근마켓 - 우리 동네 중고 직거래 벼룩장터,(New) 우리은행 우리WON뱅킹,코로나맵 - 신종 코로나 바이러스 현황,네이버 - NAVER,Netflix(넷플릭스),네이버 - NAVER
6,배달의민족,네이버 - NAVER,Amway,복지로,경기지역화폐,Samsung Smart Switch Mobile
7,네이버 - NAVER,카카오톡 KakaoTalk,Wish - 쇼핑은 즐겁다,한컴오피스 viewer,카카오톡 KakaoTalk,카카오톡 KakaoTalk
8,배달요기요,Netflix(넷플릭스),당근마켓 - 우리 동네 중고 직거래 벼룩장터,Samsung Smart Switch Mobile,네이버 - NAVER,Instagram
9,카카오톡 KakaoTalk,V3 Mobile Plus 2.0,Netflix(넷플릭스),배달의민족,쿠팡 (Coupang),Android Auto - 호환되는 차량 및 헤드유닛용
10,쿠팡 (Coupang),Samsung Smart Switch Mobile,쿠팡 (Coupang),카카오톡 KakaoTalk,Samsung Smart Switch Mobile,배달의민족
11,"네이버 지도, 내비게이션",토스,대한민국 청와대,V3 Mobile Plus 2.0,V3 Mobile Plus 2.0,V3 Mobile Plus 2.0
